geo_name,geo_id,level,moe,Total_HH_wtd,EnglishOnly_wtd,Spanish_wtd,OtherIndoEuropeanLang_wtd,AsianandPacificIslandLang_wtd,Otherlanguages_wtd,LimitedEnglish_wtd,NOTLimitedEnglish_wtd,HH_$10000to$14999_wtd,HH_$15000to$19999_wtd,HH_$20000to$24999_wtd,HH_$25000to$29999_wtd,HH_$30000to$34999_wtd,HH_$35000to$39999_wtd,HH_$40000to$44999_wtd,HH_$45000to$49999_wtd,HH_$50000to$59999_wtd,HH_$60000to$74999_wtd,HH_$75000to$99999_wtd,HH_$100000to$124999_wtd,HH_$125000to$149999_wtd,HH_$150000to$199999_wtd,HH_$200000ormore_wtd,HH_Lessthan$20000_wtd,HH_$20000to$29999_wtd,HH_$30000to$49999_wtd,HH_$50000to$74999_wtd,HH_$75000ormore_wtd
Blackstone,1,neighborhood,0,2939.36443935247,2533.43324166501,42.7836533028458,291.397055414609,16.6632415157874,55.087247454221,31.6067949122421,374.324402775221,50.9011856465523,73.2028193207798,64.7725088140581,28.465676400573,85.8906198545141,82.8200263071147,99.9357169462885,37.9785436863745,198.575254766766,217.17801039313,424.768997106682,222.450908726989,293.434226345041,260.603822961051,703.337952882923,219.152174160969,93.2381852146312,306.624906794292,415.753265159897,1904.59590802269
Charles,2,neighborhood,0,2732,1750,528,354,40,60,244,738,422,251,109,160,91,124,70,124,131,366,300,75,130,33,9,1010,269,409,497,547
College Hill,3,neighborhood,0,1785.56600036794,1351.66916890689,163.774902128972,128.253302815776,95.6949503458923,46.1736761704071,105.043342587114,328.853488873934,165.000294560714,98.679033856447,105.31260532012,37.9507806948755,89.8851279591896,63.3290144067077,78.1274423689613,14.749145448368,169.65793305911,83.4469191053889,81.986336345659,58.9480321129167,69.6436827979316,140.228762919094,284.453078999617,507.847138829997,143.263386014996,246.090730183227,253.104852164499,635.259893175218
Downtown,4,neighborhood,0,1718.29319704038,1029.45906516507,324.262400380352,79.935568300003,238.1613573827,46.4748058122604,278.16060618667,410.673525688646,144.296960152141,153.582655929635,116.769980685229,48.557235313345,8.66210798442932,37.8544605235789,66.2138412622946,19.1354732118979,70.3163414851573,72.9399744450718,42.9558422726057,54.9698630136986,3.99780821917808,55.9693150684932,118.831243574124,1001.11970998128,165.327215998574,131.865882982201,143.256315930229,276.7240721481
Elmhurst,5,neighborhood,0,3354.11901306241,2818.62264150943,117.359941944848,253.465892597968,50.3454281567489,114.325108853411,74.3033381712627,461.193033381713,97.3526850507983,179.690856313498,151.486211901306,131.014513788099,81.9796806966618,145.345428156749,173.529753265602,170.584905660377,266.023222060958,338.383164005806,507.834542815675,299.193033381713,268.127721335269,272.642960812772,50.1973875181422,497.77648766328,282.500725689405,571.43976777939,604.406386066763,1397.99564586357
Elmwood,6,neighborhood,0,3445.05563093623,932.563998190864,2124.19900497512,183.291723202171,170.000904568069,35,1007.68973315242,1504.80189959294,243.481682496608,414.75802804161,225.450022614202,265.103573043872,234.29262777024,160.46540027137,88.5594753505201,154.86657620986,162.811849841701,446.143826322931,140.11895070104,71.7485300768883,41.9923111714157,23.527815468114,0,1429.97467209408,490.553595658073,638.18407960199,608.955676164631,277.387607417458
Federal Hill,7,neighborhood,0,3173.0226283725,1902.50565709312,799.677980852916,298.874673629243,106.973020017406,64.9912967798085,449.813751087903,820.703220191471,263.934725848564,295.859007832898,132.986074847694,211.932114882507,145.956483899043,243.926892950392,225.946910356832,65,165.992167101828,258.858137510879,255.891209747607,111.986945169713,83.9904264577894,38.993907745866,22,1209.56135770235,344.9181897302,680.830287206266,424.850304612707,512.862489120975
Fox Point,8,neighborhood,0,2529.8451986755,1900.66142384106,156.415562913907,303.978476821192,112.243377483444,56.546357615894,112.061258278146,517.122516556291,219.669701986755,124.030629139073,80.9412251655629,204.841059602649,63.398178807947,97.7557947019868,133.783112582781,49.2781456953642,165.233443708609,179.765728476821,333.769039735099,227.284768211921,83.0960264900662,66.2334437086093,163.298013245033,681.167218543046,285.782284768212,344.215231788079,344.99917218543,873.681291390728
Hartford,9,neighborhood,0,1987.62364888548,659.831575604446,1132.72899217379,111.263531219367,71.2975219473642,12.5020279405137,464.104563328538,863.687509952494,203.273886775464,128.862319732982,151.394438151536,103.43383942753,143.752934547887,84.8052883888846,78.8589454709329,69.6303892896953,164.120690316274,129.307497673428,132.188577040312,97.7437527658348,58.3022680183564,50.1722759262191,31.7799611238097,692.132790744778,254.828277579066,377.0475576974,293.428187989702,370.186834874532
Hope,10,neighborhood,0,1474.63254593176,1188.74278215223,98.5826771653543,150.338582677165,28.753280839895,8.21522309711286,35.3254593175853,250.564304461942,17.251968503937,9.85826771653543,49.2913385826772,14.7874015748031,55.8635170603675,60.7926509186352,82.9737532808399,60.7926509186352,198.808398950131,173.341207349081,266.994750656168,124.871391076115,120.763779527559,147.874015748032,86.259842519685,31.2178477690289,64.0787401574803,260.422572178478,372.149606299213,746.763779527559
Lower South Providence,11,neighborhood,0,1921.59777698041,606.000595306053,1164.08285355471,62.8860274330077,65.1497887886745,23.4785118979662,492.495221241825,823.101960432535,342.510585030907,155.900461566063,136.486201947385,115.359727953289,85.7576044232055,69.7742974573092,74.863316099359,67.6312853717809,173.244099946178,138.726509875557,99.7394108916543,28.7631578947368,7.61278195488722,9,43.0520607375271,871.587322427544,251.845929900674,298.026503351655,311.970609821734,188.167411478805
Manton,12,neighborhood,0,1421.74174174174,665.095095095095,622.012012012012,112.41991991992,22.2147147147147,0,257.152152152152,499.494494494494,59.9124124124124,160.888388388388,68.6636636636637,89.532032032032,77.4149149149149,29.6196196196196,0,65.2977977977978,106.361361361361,74.049049049049,73.3758758758759,102.995495495495,100.975975975976,27.6001001001001,7.4049049049049,598.450950950951,158.195695695696,172.332332332332,180.41041041041,312.352352352352
