geo_name,geo_id,level,moe,Total_25o_wtd_sum,LT_HS_Grad_wtd_sum,HS_Grad_Equiv_wtd_sum,SomeCollege_wtd_sum,Bach_degree_wtd_sum,Masters_degree_wtd_sum,Prof_school_degree_wtd_sum,Doc_degree_wtd_sum,HS_Grad_or_Higher_wtd_sum,Bach_degree_or_Higher_wtd_sum,TotPop_PSD_wtd,TotPopBP_PSD_wtd,PopU18_PSD_wtd,PopU18_BP_PSD_wtd,Pop18to64_PSD_wtd,Pop18to64_BP_PSD_wtd,Pop65over_PSD_wtd,Pop65over_BP_PSD_wtd,Pop25over_PSD_wtd,Pop25over_BP_PSD_wtd,LT_highschl_PSD_wtd,LT_highschl_BP_PSD_wtd,HSgrad_PSD_wtd,HSgrad_BP_PSD_wtd,SomeColl_Assoc_PSD_wtd,SomeColl_Assoc_BP_PSD_wtd,BachHigher_PSD_wtd,BachHigher_BP_PSD_wtd,Indiv_Below50pctPov_wtd,Indiv_Below125pctPov_wtd,Indiv_Below150pctPov_wtd,Indiv_Below185pctPov_wtd,Indiv_Below200pctPov_wtd,Indiv_Under.50Pov_wtd,Indiv_Total.50to.99Pov_wtd,Indiv_Total1.00to1.24Pov_wtd,Indiv_Total1.25to1.49Pov_wtd,Indiv_Total1.50to1.84Pov_wtd,Indiv_Total1.85to1.99Pov_wtd,Indiv_Total2.00andoverPov_wtd
Blackstone,1,neighborhood,0,5177.56901678082,199.608758698423,222.879055803246,555.400909235189,1647.03018902014,1039.13000514635,776.780392275569,736.739706601904,4977.9602580824,4199.68029304396,6900.12585043781,395.481692348625,1469.32553962349,122.596206661209,4253.79353538387,248.503925516523,1177.00677543046,24.3815601708923,5097.83697800263,225.723717109818,146.879036226919,15.2948507672217,209.64194306299,26.1024923888788,554.860008944773,54.8307838633774,4186.45598976795,129.49559009034,285.616338298767,487.128262133007,612.037447502523,813.716232401491,952.597326742304,285.616338298767,109.865354049857,91.6465697843829,124.909185369516,201.678784898967,138.881094340813,5947.52852369551
Charles,2,neighborhood,0,4194,947,940,1467,556,238,20,26,3247,840,6679,1963,1680,710,4293,1173,706,80,4194,773,947,270,940,144,1467,202,840,157,776,2367,2563,2951,3075,776,1187,404,196,388,124,3604
College Hill,3,neighborhood,0,2463.16180105254,118.184510600613,210.270963166705,251.481802669446,783.813544865373,596.960113778971,236.522708760189,265.928157211246,2344.97729045193,1883.22452461578,3991.71823796111,1337.68719046013,478.380092195092,138.59591059553,3124.97275453267,1186.4533146483,388.365391233345,12.6379652163014,2365.75258014543,271.273812873472,100.903156198741,34.0702369265091,195.863042040184,60.5591596268742,234.545427977523,77.8520124033648,1834.44095392898,98.7924039167236,990.292381877488,1444.87582398865,1589.91381867987,1764.21808912913,1836.86431867766,990.292381877488,347.394808582644,107.188633528515,145.037994691221,174.304270449265,72.6462295485235,2154.85391928345
Downtown,4,neighborhood,0,1902.94371903092,430.360198675366,468.982343998628,299.914177605051,308.953827103532,209.026958803847,131.624496065337,54.081716779156,1472.58352035555,703.686998751871,2538.45213197439,1082.75303603012,125.84255036389,56.2617191058425,2025.45695137028,970.51241484426,387.152630240221,55.9789020800183,1842.50622270333,550.44413882037,424.371610086778,235.634567857417,457.146211345949,144.452500300695,269.512197949755,75.4194475499794,691.476203320852,94.9376231122784,714.907378553866,1224.95008784227,1371.7371226775,1516.17395136436,1526.31590171918,714.907378553866,367.845657476255,142.197051812154,146.787034835229,144.436828686862,10.1419503548197,1012.13623025521
Elmhurst,5,neighborhood,0,5763.65917159763,689.447337278106,1039.20236686391,1577.04615384615,1115.25917159763,922.369230769231,208.67573964497,211.659171597633,5074.21183431953,2457.96331360947,8463.61538461538,1224.9124260355,1330.42721893491,90,5878.31479289941,1018.64733727811,1254.87337278107,116.265088757396,5549.24378698225,329.08875739645,599.879289940828,92.4130177514793,966.202366863905,74.8520710059172,1539.48047337278,91.4130177514793,2443.68165680473,70.410650887574,798.936094674556,1605.32781065089,1984.95857988166,2336.84023668639,2376.84023668639,798.936094674556,425.976331360947,380.415384615385,379.630769230769,351.881656804734,40,6086.77514792899
Elmwood,6,neighborhood,0,6295.60694072088,2196.9854036342,1613.27911826035,1595.33392910337,527.446976467084,256.648644623175,44.8404825737265,61.0723860589812,4098.62153708668,890.008489722967,10572.5095323205,3407.2545427465,2948.45204051236,1148.67887995234,6697.54512957998,1951.71760500447,926.51236222818,306.858057789693,6252.66666666667,1748.84197199881,2165.58132260947,699.442061364313,1606.22922252011,618.893208221626,1590.84763181412,396.329609770629,890.008489722967,34.1770926422401,1676.30577896932,4458.42612451594,5793.26392612452,6574.46708370569,6721.11081322609,1676.30577896932,1730.94876377718,1051.17158176944,1334.83780160858,781.203157581174,146.643729520405,3851.39871909443
Federal Hill,7,neighborhood,0,4414.33021172638,1401.74959283388,931.85667752443,879.860342019544,762.923045602606,306.958876221498,54.9910423452769,75.9906351791531,3012.58061889251,1200.86359934853,7214.88884364821,2701.53664495114,803.872557003257,433.922231270358,5800.10586319218,2101.63802931596,610.910423452769,165.976384364821,4414.33021172638,1226.78338762215,1401.74959283388,457.918566775244,931.85667752443,304.938925081433,879.860342019544,193.967019543974,1200.86359934853,269.958876221498,1195.83876221498,3092.49389250814,3476.46050488599,4033.42956026059,4119.42956026059,1195.83876221498,1505.69788273616,390.957247557003,383.96661237785,556.969055374593,86,3095.45928338762
Fox Point,8,neighborhood,0,3780.55409029951,284.593875726419,353.742288779616,650.954403218596,1393.74720607957,611.923781850693,237.900759946357,247.691774698257,3495.96021457309,2491.26352257488,5319.67679928476,1367.12092087617,537.840858292356,234.3880196692,4202.42556995977,1119.42847563701,579.410371032633,13.3044255699598,3728.41685292803,584.656236030398,255.802860974519,100.83281180152,335.187080911936,52.7760393383996,648.718596334376,115.426687527939,2488.7083147072,315.620697362539,790.775368797497,1609.14148413053,1786.32610639249,2027.92556995977,2108.19691551185,790.775368797497,576.345552078677,242.020563254359,177.184622261958,241.599463567278,80.2713455520787,3211.47988377291
Hartford,9,neighborhood,0,3699.9125554763,1457.74595924549,1353.72468625215,607.056404918414,268.375046657737,12.8610040295833,.142811956349834,.00664241657441088,2242.16659623081,281.385505060244,6351.0255496098,1710.95034465256,2106.63790226194,738.364683804938,3670.95427308391,783.622838265644,573.433374263942,188.962822581975,3699.9125554763,795.809637012925,1457.74595924549,389.513917688794,1353.72468625215,192.162209258665,607.056404918414,196.687466772689,281.385505060244,17.4460432927772,1036.50577519959,2159.25798047931,2889.61310491158,3195.48512854815,3789.70081105207,1036.50577519959,674.444569452967,448.307635826757,730.355124432265,305.87202363657,594.215682503923,2561.32473855772
Hope,10,neighborhood,0,2564.02129719264,204.924975798645,362.307357212004,310.666263310745,726.254114230397,571.330832526622,186.071878025169,202.465876089061,2359.096321394,1686.12270087125,3197.64932236205,150.824782187803,496.738141335915,9.01669893514037,2417.29501452081,134.430784123911,283.616166505324,7.37729912875121,2498.44530493708,89.3472894482091,172.136979670862,48.3622942884802,333.617860600194,10.6560987415295,308.207163601162,24.5909970958374,1684.48330106486,5.73789932236205,45.9031945788964,177.055179090029,213.941674733785,426.243949661181,522.968538238141,45.9031945788964,104.921587608906,26.2303969022265,36.886495643756,212.302274927396,96.7245885769603,2674.68078412391
