geo_name,geo_id,level,moe,Total,NH_White,NH_Black,NH_AIAN,NH_Asian,NH_NHOPI,NH_Other,NH_TwoOrMore,Hispanic,Pct_Tot,Pct_NHWhite,Pct_NHBlack,Pct_NHAIAN,Pct_NHAsian,Pct_NHNHOPI,Pct_NHOther,Pct_TwoorMore,Pct_Hisp,TotPopInHU,OwnPopMort,OwnPopFree,RentPop,PopOwn,Pct_TotPopInHU,Pct_PopOwn,Pct_RentPop,TotOccHU,OwnMortgage,OwnFree,RentHU,HUOwn,Pct_OccHU,Pct_HUOwn,Pct_HURent,TotHH,TotFamHH,TotFamHHMaleHH,TotFamHHFemaleHH,TotNonFamHH,TotNonFamHHMaleHH,TotNonFamHHFemaleHH,TotFamilies,TotFam_w_rel_childU18,TotFam_w_own_childU18,TotHusWifeFam,TotHusWifeFam_w_rel_childU18,TotHusWifeFam_w_own_childU18,FemaleHH_NoHusb,FemHH_NoHusb_w_rel_childU18,FemHH_NoHusb_w_own_childU18,Pct_TotHH,Pct_TotFamHH,Pct_TotFamHHMaleHH,Pct_TotFamHHFemaleHH,Pct_TotNonFamHH,Pct_TotNonFamHHMaleHH,Pct_TotNonFamHHFemaleHH,Pct_TotFamilies,Pct_TotFam_w_rel_childU18,Pct_TotFam_w_own_childU18,Pct_TotHusWifeFam,Pct_TotHusWifeFam_w_rel_childU18,Pct_TotHusWifeFam_w_own_childU18,Pct_FemaleHH_NoHusb,Pct_FemHH_NoHusb_w_rel_childU18,Pct_FemHH_NoHusb_w_own_childU18,Under18,Age18plus,Age18_64,Age65plus,Age0_4,Age5_17,Age18_24,Age25_34,Age35_54,Age55_64
Blackstone,1,neighborhood,0,6607,5826,98,5,327,1,24,155,171,100,88.1792038746784,1.48327531406084,.0756773119418798,4.94929620099894,.015135462388376,.363251097321023,2.34599667019827,2.58816406841229,6512,3564,1247,1701,4811,100,73.8789926289926,26.1210073710074,2917,1359,699,859,2058,100,70.5519369214947,29.4480630785053,2917,1673,1202,471,1244,473,771,1673,764,759,1486,652,648,134,82,81,100,57.3534453205348,41.2067192320878,16.146726088447,42.6465546794652,16.2152896811793,26.4312649982859,100,45.6664674237896,45.3676031081889,88.8224745965332,38.9719067543335,38.732815301853,8.00956365809922,4.90137477585176,4.84160191273162,1360,5247,4058,1189,440,920,335,916,1820,987
Charles,2,neighborhood,0,6760,3024,1088,46,169,3,158,301,1971,100,44.7337278106509,16.094674556213,.680473372781065,2.5,.0443786982248521,2.33727810650888,4.45266272189349,29.1568047337278,6758,2632,486,3640,3118,100,46.1379106244451,53.8620893755549,2750,913,269,1568,1182,100,42.9818181818182,57.0181818181818,2750,1618,823,795,1132,624,508,1618,935,851,863,437,412,553,395,352,100,58.8363636363636,29.9272727272727,28.9090909090909,41.1636363636364,22.6909090909091,18.4727272727273,100,57.78739184178,52.5957972805933,53.3374536464771,27.008652657602,25.4635352286774,34.1779975278121,24.4128553770087,21.7552533992583,1712,5048,4305,743,568,1144,688,1171,1769,677
College Hill,3,neighborhood,0,9328,6350,311,13,1512,5,30,452,655,100,68.0746140651801,3.33404802744425,.139365351629503,16.2092624356775,.0536020583190395,.321612349914237,4.84562607204117,7.02186963979417,4091,1237,430,2424,1667,100,40.7479833781472,59.2520166218528,1964,539,214,1211,753,100,38.3401221995927,61.6598778004073,1964,608,418,190,1356,683,673,608,202,199,546,168,167,50,26,26,100,30.9572301425662,21.2830957230143,9.67413441955194,69.0427698574338,34.775967413442,34.2668024439919,100,33.2236842105263,32.7302631578947,89.8026315789474,27.6315789473684,27.4671052631579,8.22368421052632,4.27631578947368,4.27631578947368,371,8957,8502,455,81,290,6570,765,713,454
Downtown,4,neighborhood,0,4735,2669,396,17,816,3,22,128,684,100,56.3674762407603,8.36325237592397,.359028511087645,17.233368532207,.0633579725448786,.464625131995776,2.70327349524815,14.4456177402323,2653,103,40,2510,143,100,5.39012438748586,94.6098756125141,1872,64,32,1776,96,100,5.12820512820513,94.8717948717949,1872,383,259,124,1489,795,694,383,88,82,273,55,54,66,21,18,100,20.4594017094017,13.8354700854701,6.62393162393162,79.5405982905983,42.4679487179487,37.0726495726496,100,22.976501305483,21.4099216710183,71.2793733681462,14.3603133159269,14.0992167101828,17.2323759791123,5.48302872062663,4.69973890339426,134,4601,4192,409,60,74,2492,641,680,379
Elmhurst,5,neighborhood,0,11099,8069,874,30,251,2,67,205,1601,100,72.700243265159,7.87458329579241,.270294621137039,2.26146499684656,.018019641409136,.603657987206055,1.84701324443644,14.4247229480133,8998,4360,1088,3550,5448,100,60.54678817515,39.45321182485,3734,1661,607,1466,2268,100,60.7391537225495,39.2608462774505,3734,1984,1185,799,1750,784,966,1984,882,801,1302,541,513,528,273,228,100,53.1333690412426,31.7354043920728,21.3979646491698,46.8666309587574,20.9962506695233,25.8703802892341,100,44.4556451612903,40.3729838709677,65.625,27.2681451612903,25.8568548387097,26.6129032258064,13.7600806451613,11.491935483871,1579,9520,8097,1423,472,1107,3496,1295,2361,945
Elmwood,6,neighborhood,0,10755,1085,1775,74,719,4,82,299,6717,100,10.0883310088331,16.5039516503952,.688052068805207,6.68526266852627,.0371920037192004,.762436076243608,2.78010227801023,62.4546722454672,10657,2851,344,7462,3195,100,29.9802946420193,70.0197053579807,3530,813,129,2588,942,100,26.685552407932,73.314447592068,3530,2397,913,1484,1133,570,563,2397,1647,1429,1057,654,578,1110,852,736,100,67.9036827195467,25.8640226628895,42.0396600566572,32.0963172804533,16.1473087818697,15.9490084985836,100,68.7108886107634,59.616186900292,44.0967876512307,27.2841051314143,24.113475177305,46.3078848560701,35.5444305381727,30.7050479766375,3240,7515,6725,790,902,2338,1413,1547,2762,1003
Federal Hill,7,neighborhood,0,7245,3629,765,57,454,4,47,230,2059,100,50.0897170462388,10.5590062111801,.786749482401656,6.2663906142167,.0552104899930987,.64872325741891,3.17460317460317,28.4195997239475,6986,1023,226,5737,1249,100,17.8786143716003,82.1213856283997,3354,429,134,2791,563,100,16.7859272510435,83.2140727489565,3354,1062,502,560,2292,1222,1070,1062,569,513,493,222,207,386,265,238,100,31.6636851520572,14.9672033392964,16.6964818127609,68.3363148479428,36.4341085271318,31.902206320811,100,53.5781544256121,48.3050847457627,46.421845574388,20.9039548022599,19.4915254237288,36.346516007533,24.9529190207156,22.4105461393597,1031,6214,5524,690,367,664,1885,1594,1481,564
Fox Point,8,neighborhood,0,5002,3839,220,23,431,3,58,168,260,100,76.749300279888,4.39824070371851,.459816073570572,8.61655337864854,.0599760095961615,1.15953618552579,3.35865653738505,5.19792083166733,4861,837,346,3678,1183,100,24.3365562641432,75.6634437358568,2575,419,201,1955,620,100,24.0776699029126,75.9223300970874,2575,684,404,280,1891,935,956,684,202,187,514,116,109,137,75,67,100,26.5631067961165,15.6893203883495,10.873786407767,73.4368932038835,36.3106796116505,37.126213592233,100,29.5321637426901,27.3391812865497,75.1461988304094,16.9590643274854,15.9356725146199,20.0292397660819,10.9649122807018,9.7953216374269,322,4680,4015,665,122,200,1424,1373,835,383
Hartford,9,neighborhood,0,6899,1323,763,37,351,0,46,136,4243,100,19.1766922742426,11.0595738512828,.536309610088419,5.08769386867662,0,.666763299028845,1.97130018843311,61.5016669082476,6899,2365,299,4235,2664,100,38.6142919263661,61.3857080736339,2142,677,141,1324,818,100,38.1886087768441,61.8113912231559,2142,1610,722,888,532,305,227,1610,1122,1031,728,452,425,682,544,492,100,75.1633986928105,33.7068160597572,41.4565826330532,24.8366013071895,14.2390289449113,10.5975723622782,100,69.6894409937888,64.0372670807453,45.2173913043478,28.0745341614907,26.3975155279503,42.360248447205,33.7888198757764,30.5590062111801,2350,4549,4099,450,676,1674,826,1024,1765,484
Hope,10,neighborhood,0,3387,2611,255,17,131,0,50,133,190,100,77.0888692057868,7.52878653675819,.501919102450546,3.86772955417774,0,1.47623265426631,3.92677886034839,5.60968408621199,3224,1496,339,1389,1835,100,56.9168734491315,43.0831265508685,1565,631,184,750,815,100,52.0766773162939,47.9233226837061,1565,746,433,313,819,330,489,746,332,318,553,229,222,148,90,84,100,47.667731629393,27.667731629393,20,52.332268370607,21.0862619808307,31.2460063897764,100,44.5040214477212,42.627345844504,74.1286863270778,30.6970509383378,29.7587131367292,19.8391420911528,12.0643431635389,11.2600536193029,518,2869,2392,477,217,301,248,720,978,446
