block_fips_code,block_population,census_tract,zcta,census_block_group,neighborhood
440070032001000,67,44007003200,02906,440070032001,Blackstone
440070032001001,68,44007003200,02906,440070032001,Blackstone
440070032001002,71,44007003200,02906,440070032001,Blackstone
440070032001003,106,44007003200,02906,440070032001,Blackstone
440070032001004,99,44007003200,02906,440070032001,Blackstone
440070032001005,126,44007003200,02906,440070032001,Blackstone
440070032001006,108,44007003200,02906,440070032001,Blackstone
440070032002000,28,44007003200,02906,440070032002,Blackstone
440070032002006,43,44007003200,02906,440070032002,Blackstone
440070032002007,31,44007003200,02906,440070032002,Blackstone
440070032002011,69,44007003200,02906,440070032002,Blackstone
440070032002013,54,44007003200,02906,440070032002,Blackstone
440070032002014,38,44007003200,02906,440070032002,Blackstone
440070032003000,35,44007003200,02906,440070032003,Blackstone
440070032003004,56,44007003200,02906,440070032003,Blackstone
440070032003007,72,44007003200,02906,440070032003,Blackstone
440070032003008,47,44007003200,02906,440070032003,Blackstone
440070032003013,25,44007003200,02906,440070032003,Blackstone
440070033001006,0,44007003300,02906,440070033001,Blackstone
440070033001018,83,44007003300,02906,440070033001,Blackstone
440070033001019,32,44007003300,02906,440070033001,Blackstone
440070033002000,0,44007003300,02906,440070033002,Blackstone
440070033002001,76,44007003300,02906,440070033002,Blackstone
440070033002003,91,44007003300,02906,440070033002,Blackstone
440070033002007,81,44007003300,02906,440070033002,Blackstone
440070033002008,86,44007003300,02906,440070033002,Blackstone
440070033002015,46,44007003300,02906,440070033002,Blackstone
440070033002016,60,44007003300,02906,440070033002,Blackstone
440070033002017,86,44007003300,02906,440070033002,Blackstone
440070033003010,65,44007003300,02906,440070033003,Blackstone
440070033003019,8,44007003300,02906,440070033003,Blackstone
440070033003020,31,44007003300,02906,440070033003,Blackstone
440070034001000,0,44007003400,02906,440070034001,Blackstone
440070034001001,0,44007003400,02906,440070034001,Blackstone
440070034001002,18,44007003400,02906,440070034001,Blackstone
440070034001003,0,44007003400,02906,440070034001,Blackstone
440070034001004,0,44007003400,02906,440070034001,Blackstone
440070034001005,0,44007003400,02906,440070034001,Blackstone
440070034001006,0,44007003400,02906,440070034001,Blackstone
440070034001007,37,44007003400,02860,440070034001,Blackstone
440070034001008,0,44007003400,02906,440070034001,Blackstone
440070034001009,0,44007003400,02906,440070034001,Blackstone
440070034001010,0,44007003400,02906,440070034001,Blackstone
440070034001011,33,44007003400,02906,440070034001,Blackstone
440070034001012,28,44007003400,02906,440070034001,Blackstone
440070034001013,24,44007003400,02906,440070034001,Blackstone
440070034001014,20,44007003400,02906,440070034001,Blackstone
440070034001015,16,44007003400,02906,440070034001,Blackstone
440070034001016,96,44007003400,02906,440070034001,Blackstone
440070034001017,16,44007003400,02906,440070034001,Blackstone
440070034001018,16,44007003400,02906,440070034001,Blackstone
440070034001019,13,44007003400,02906,440070034001,Blackstone
440070034001020,16,44007003400,02906,440070034001,Blackstone
440070034001021,9,44007003400,02906,440070034001,Blackstone
440070034001022,24,44007003400,02906,440070034001,Blackstone
440070034001023,19,44007003400,02906,440070034001,Blackstone
440070034001024,33,44007003400,02906,440070034001,Blackstone
440070034001025,32,44007003400,02906,440070034001,Blackstone
440070034001026,20,44007003400,02906,440070034001,Blackstone
440070034001027,19,44007003400,02906,440070034001,Blackstone
440070034001028,57,44007003400,02906,440070034001,Blackstone
440070034001029,26,44007003400,02906,440070034001,Blackstone
440070034001030,118,44007003400,02906,440070034001,Blackstone
440070034001031,25,44007003400,02906,440070034001,Blackstone
440070034001032,12,44007003400,02906,440070034001,Blackstone
440070034001033,26,44007003400,02906,440070034001,Blackstone
440070034001034,10,44007003400,02906,440070034001,Blackstone
440070034001035,0,44007003400,02906,440070034001,Blackstone
440070034001036,54,44007003400,02906,440070034001,Blackstone
440070034001037,94,44007003400,02906,440070034001,Blackstone
440070034001038,33,44007003400,02906,440070034001,Blackstone
440070034001039,42,44007003400,02906,440070034001,Blackstone
440070034001040,36,44007003400,02906,440070034001,Blackstone
440070034001041,10,44007003400,02906,440070034001,Blackstone
